N,Z,element,be_per_a,beta_decay_energy,atomic_mass,s2n,s2p,qa,q2b,qep,qbn,s1n,s1p,q4b,qda,qpa,qna
6,2,He,3.9245200000000002,10.663878,8.03393439,2.1250500000000003,,,26.66801,,8.631260000000001,2.5347600000000003,24.814,-3.45459,0.44477,3.58129,
5,3,Li,5.159712000000001,16.004133,8.022486246,9.28371,35.50786,-6.10024,-1.97576,-35.478,-2.8945100000000004,2.03262,12.416290000000002,,14.06451,14.578629999999999,-6.30024
4,4,Be,7.062435000000001,-17.979896,8.005305102,29.576,27.228369999999998,0.09184,-30.1226,-28.42043,-30.8062,18.89864,17.2544,,1.5655999999999999,-1.8731600000000002,-0.64316
3,5,B,4.717155,-12.142700999999999,8.024607316,40.541000000000004,5.74325,-4.8265400000000005,,0.7254900000000001,,12.8263,0.13640000000000002,,15.257340000000001,-9.353,16.889080000000003
2,6,C,3.101524,,8.037643042,,-2.11129,,,12.0063,,,-0.09875,,-1.545,,3.572
7,2,He,3.349037,15.980924000000002,9.043946419,1.27993,,,29.58737,,11.918700000000001,-1.25483,,12.02485,2.512,3.92416,
6,3,Li,5.037768,13.606449000000001,9.026790191,6.0948400000000005,38.758,-10.362459999999999,12.53841,,11.94191,4.06222,13.94375,,9.59258,12.22686,-11.274420000000001
5,4,Be,6.462668,-1.068035,9.012183066,20.56318,29.30261,-2.3077,-17.56252,-27.5502,-19.64443,1.66454,16.88632,,7.15215,2.12563,-0.59724
4,5,B,6.25707,-16.494484,9.013329649,31.402700000000003,17.06856,-1.68731,,-15.818290000000001,-30.719099999999997,18.576400000000003,-0.18585,,7.358300000000001,-1.09449,3.9760100000000005
3,6,C,4.337423,,9.031037207,,1.43597,-10.653,,16.68033,,14.22461,1.29957,,11.94523,-13.545,16.18234
8,2,He,2.995134,16.144519,10.052815308,-1.44483,,,36.58966,,16.17092,-0.19,,33.498470000000005,,4.926,
7,3,Li,4.531351,20.445135999999998,10.035483453,4.03581,,-11.24801,21.00201,,13.632850000000001,-0.0264,15.172170000000001,-5.7474,12.15375,11.843549999999999,-10.436
6,4,Be,6.49763,0.5568780000000001,10.013534695,8.47682,33.58013,-7.4095200000000006,-3.09118,-35.617309999999996,-7.88032,6.8122799999999994,19.63639,,2.37249,2.5644400000000003,-7.81924
5,5,B,6.475083,-3.648062,10.012936862,27.01359,23.47314,-4.461189999999999,-26.749419999999997,-20.19326,-24.93168,8.4372,6.586810000000001,,17.819740000000003,1.1456700000000002,2.78991
4,6,C,6.032042000000001,-23.101355,10.016853218,35.508230000000005,3.8209400000000002,-5.10128,,-2.93875,,21.28362,4.00679,,3.48791,-7.11382,5.57607
3,7,N,3.643672,,10.041653543,,-1.30052,-10.945,,19.09457,,,-2.60008,,14.44656,,16.76988
8,3,Li,4.155381,20.551087,11.043723581,0.36928,,-10.832,32.06055,,20.04945,0.39569,15.75786,16.42469,10.50323,13.98263,
7,4,Be,5.95254,11.509459999999999,11.021661081,7.31392,35.3366,-8.320870000000001,9.52777,-36.308949999999996,0.055240000000000004,0.50164,20.16443,,5.93307,4.09542,-5.78611
6,5,B,6.927732,-1.981689,11.009305166,19.89142,30.86514,-8.66431,-15.635850000000001,-31.67389,-15.10228,11.45422,11.22875,,8.03006,8.59009,-6.6317
5,6,C,6.676456,-13.654163,11.011432597,34.40421,15.277000000000001,-7.54452,,-9.24706,-36.22195,13.12059,8.69018,,8.94371,-7.40812,11.35413
4,7,N,5.364046,,11.026090945,,2.69087,-5.79791,,4.963979999999999,,22.56778,-1.3159200000000002,,6.10339,-5.89665,7.028390000000001
9,3,Li,3.7916,23.931812,12.052613941,0.18569,,,35.64017,,20.76109,-0.21,,31.6715,10.52323,12.9378,
8,4,Be,5.720722,11.708363,12.026922083,3.6723600000000003,38.69732,-8.95684,25.077759999999998,,8.33874,3.1707199999999998,22.93947,-6.83685,2.7359400000000003,4.98691,-10.21166
7,5,B,6.631223,13.369397000000001,12.014352638,14.82385,34.26117,-10.00132,-3.9686700000000004,-34.64783,-5.351319999999999,3.3696300000000003,14.09674,,11.47271,6.885,-5.939100000000001
6,6,C,7.680144,-17.338068,12.0,31.841310000000004,27.18543,-7.36659,-31.91461,-27.46614,-32.374880000000005,18.72071,15.95668,,-1.3397999999999999,-7.55243,-5.702050000000001
5,7,N,6.170109,-14.576544,12.018613182,37.604589999999995,9.29048,-8.00841,,1.3813900000000001,,15.03681,0.6003,,12.350200000000001,-6.708850000000001,10.56798
4,8,O,4.890202,,12.034261747,,-1.6380000000000001,-5.57457,,13.97625,,,-0.32208,,3.82539,,8.65004
10,3,Li,3.5076300000000002,23.321812,13.061171503,-0.11,,,40.418940000000006,,23.83181,0.1,,51.63541000000001,,12.6478,
9,4,Be,5.241435,17.09713,13.036134507,2.66072,,-9.70166,30.53407,,12.21836,-0.51,22.639470000000003,10.54364,3.64163,5.47051,-9.89167
8,5,B,6.496419,13.436938,13.017779981,8.248389999999999,38.74425,-10.817870000000001,11.21647,-39.7366,8.49063,4.87877,15.804780000000001,,7.0955900000000005,8.81851,-10.844280000000001
7,6,C,7.469849,-2.2204720000000004,13.00335483521,23.66702,31.6301,-10.64836,-19.99042,-29.24172,-22.284380000000002,4.94631,17.533360000000002,,5.1681099999999995,-4.06155,-3.83608
6,7,N,7.238863,-17.769951000000002,13.005738609,35.10071,17.90017,-9.49592,,-15.31289,-34.64045,20.0639,1.94349,,5.406890000000001,-5.489140000000001,-1.05873
5,8,O,5.811763,,13.024815437,,2.11191,-8.22046,,15.826459999999999,,16.8705,1.51161,,9.522680000000001,-10.820540000000001,13.06316
10,4,Be,4.9938970000000005,16.290813,14.04289292,1.2659,,-11.66756,36.93461,,15.32123,1.7759,24.315360000000002,31.946720000000003,1.6557300000000001,4.0903,
9,5,B,6.101644,20.643792,14.025404012,5.848350000000001,39.92383,-11.81385,20.80027,-40.60617,12.467360000000001,0.9695800000000001,17.28436,-8.30072,9.29673,8.35057,-11.41817
8,6,C,7.520319000000001,0.156476,14.00324198843,13.12274,36.63581,-12.01251,-4.98789,-37.92815,-10.39691,8.17643,20.831020000000002,,0.3613,-0.78376,-11.51087
7,7,N,7.475613999999999,-5.1443639999999995,14.00307400446,30.61729,25.08392,-11.612110000000001,-29.100990000000003,-20.9875,-28.323330000000002,10.553379999999999,7.550560000000001,,13.57422,-2.92192,-0.15789
6,8,O,7.052278,-23.956622,14.008596706,40.04947,6.57016,-10.11581,,-2.4061999999999997,,23.178970000000003,4.62667,,1.38052,-11.43172,3.00479
5,9,F,5.285208,,14.034315199,,-0.04839,-9.26054,,19.32995,,,-1.56,,10.7606,,13.30724
11,4,Be,4.540970000000001,20.867573,15.053490215,-0.024100000000000003,,,39.95267,,18.09081,-1.8,,46.97021,3.55573,5.6803,
10,5,B,5.879985,19.085098000000002,15.031087953,3.74634,42.60059,-14.194930000000001,28.8568,,17.86703,2.7767600000000003,18.28523,12.39149,6.00997,8.74454,-14.40493
9,6,C,7.100169,9.771705,15.010599256,9.3945,38.363870000000006,-12.728940000000001,7.01754,-37.37032,-1.06159,1.21807,21.07951,-30.34223,4.022,1.3678,-9.558209999999999
8,7,N,7.69946,-2.754166,15.00010889894,21.386680000000002,31.03845,-10.99118,-16.465310000000002,-30.85122,-15.97766,10.8333,10.20742,,7.68724,4.96549,-7.621560000000001
7,8,O,7.463692,-13.711146000000001,15.003065618,36.40246,14.84734,-10.21871,-37.35977,-7.45326,-37.18011,13.22349,7.29678,,8.220930000000001,-9.61841,8.50201
6,9,F,6.497459,-23.648622,15.017785139,,3.3566700000000003,-10.161719999999999,,6.414359999999999,,23.468970000000002,-1.27,,4.16213,-10.48381,4.87508
5,10,Ne,4.868728,,15.04317298,,-2.5220000000000002,,,24.91862,,,-0.962,,,,13.94716
12,4,Be,4.285285,20.334623,16.061672036,-1.35,,,43.753,,20.41757,0.45,,62.184129999999996,,5.3303,
11,5,B,5.507302,23.418378,16.03984192,2.69381,,-14.32198,31.4286,,19.16805,-0.08295000000000001,20.00228,26.43226,7.8688199999999995,8.31749,-14.22198
10,6,C,6.922054,8.010225,16.014701256,5.46839,40.83831,-13.80854,18.431130000000003,-43.42065,5.521380000000001,4.25033,22.55308,-10.29264,0.74125,1.99624,-14.31854
9,7,N,7.3737960000000005,10.420907999999999,16.006101925,13.32214,32.55772,-10.11041,-4.9963500000000005,-30.56331,-5.2430200000000005,2.48885,11.478209999999999,,13.37482,7.42295,-5.2316400000000005
8,8,O,7.976206,-15.417254000000002,15.9949146196,28.88742,22.33484,-7.16192,-28.723779999999998,-21.89912,-29.37507,15.663920000000001,12.12741,,3.1103899999999998,-5.218430000000001,-2.2156100000000003
7,9,F,6.963731,-13.306523,16.011465723,37.42678,6.7611099999999995,-9.08273,,3.2898400000000003,-37.606440000000006,13.95782,-0.5356799999999999,,13.383280000000001,-7.57112,10.98117
6,10,Ne,6.083177,,16.025750864,,-1.40105,-10.35275,,13.842200000000002,,24.29991,-0.13105000000000003,,2.73318,,6.51775
12,5,B,5.269667,22.684419000000002,17.046931399,1.38456,,-15.68949,35.84624,,21.95087,1.46751,21.01979,41.76462,4.601310000000001,8.62587,
11,6,C,6.5580240000000005,13.16182,17.022578672,4.98388,43.37186,-15.05209,21.84066,-43.7042,7.27667,0.7335499999999999,23.369580000000003,4.5314499999999995,2.78446,2.23227,-13.276200000000001
10,7,N,7.2862290000000005,8.678842000000001,17.008448877,8.37399,35.6661,-11.11678,5.91838,-36.531400000000005,4.535760000000001,5.885149999999999,13.11302,-27.303130000000003,8.70774,9.71424,-10.147200000000002
9,8,O,7.7507280000000005,-2.7604650000000004,16.99913175664,19.807000000000002,25.25985,-6.35869,-17.30921,-21.79187,-19.56033,4.14308,13.78164,,9.800600000000001,1.19187,1.81775
8,9,F,7.542328,-14.548746,17.002095238,30.75768,12.727680000000001,-5.81869,-33.22151,-11.021180000000001,-30.10639,16.79987,0.60027,,9.8069,-1.19202,4.73469
7,10,Ne,6.640499,-18.672766,17.017713959,39.85756,0.9331,-9.0399,,13.94848,,15.55765,1.46878,,10.6445,-10.5999,14.13907
6,11,Na,5.49608,,17.03776,,-4.02852,,,17.20399,,,-3.8974699999999998,,5.6686499999999995,,8.85521
13,5,B,4.97663,26.87337,18.055601682,1.46251,,,38.67947,,22.68942,-0.005,,50.91952,5.056310000000001,6.83087,
12,6,C,6.426131000000001,11.806096,18.026751932,4.9175,47.10581,-17.460150000000002,25.702080000000002,,8.977870000000001,4.18395,26.08602,19.601650000000003,-1.48244,0.82508,-19.260150000000003
11,7,N,7.038562,13.895984,18.014077565,8.713370000000001,38.57728,-12.975430000000001,12.24006,-37.892120000000006,5.85061,2.82823,15.2077,-11.92482,10.12984,8.10408,-10.19867
10,8,O,7.767097,-1.6559290000000002,17.99915961284,12.188450000000001,29.05489,-6.22762,-6.10043,-29.10368,-10.80583,8.04537,15.94186,,4.24408,3.9798000000000004,-5.0095600000000005
9,9,F,7.631638,-4.444501000000001,18.000937325,25.94977,19.388740000000002,-4.415220000000001,-24.16487,-14.28594,-23.69865,9.14991,5.60709,,16.32092,2.88156,6.41808
8,10,Ne,7.341257,-19.720374,18.005708693,34.811800000000005,4.52333,-5.11508,,-1.16259,-37.926919999999996,19.254150000000003,3.92306,,5.3481700000000005,-6.38508,8.10841
7,11,Na,6.202217,,18.026879386,,0.22021000000000002,-9.35133,,15.797320000000001,,18.20654,-1.24857,,11.762020000000001,-10.31333,14.11764
14,5,B,4.719634,27.356492,19.064166,0.08871,,,43.91396,,26.77966,0.09371,,61.257690000000004,,7.18717,
13,6,C,6.118273,16.557471000000003,19.034797596,4.76078,,-19.83698,29.08089,,11.229270000000001,0.5768300000000001,26.667849999999998,30.6617,-0.59176,0.1653,-19.38698
12,7,N,6.948543,12.523424,19.017022419,8.15643,42.43798,-15.52688,17.34373,-43.22532,8.56778,5.3282,16.351950000000002,2.9268899999999998,5.53519,7.0262,-15.60983
11,8,O,7.566495,4.820302,19.00357797,12.00101,32.27698,-8.965200000000001,1.58081,-28.875380000000003,-5.6115699999999995,3.95564,17.06928,-28.49553,6.17359,2.5130100000000004,-4.71487
10,9,F,7.779018,-3.239494,18.99840316288,19.58178,23.93546,-4.013800000000001,-14.416830000000001,-21.889580000000002,-14.87638,10.431870000000002,7.993600000000001,,10.032129999999999,8.11361,-1.52495
9,10,Ne,7.567343,-11.177340000000001,19.001880903,30.89103,12.01713,-3.52847,-30.076340000000002,-4.7541,-31.35725,11.63688,6.41003,,10.51115,-4.064150000000001,12.13545
8,11,Na,6.9378850000000005,-18.898998,19.013880272,38.38646,3.60025,-6.0622799999999994,,4.76731,,20.17991,-0.32281,,7.13975,-6.1933300000000004,7.8955400000000004
7,12,Mg,5.902025,,19.034169182,,-0.75,-10.8119,,19.221799999999998,,,0.49857,,7.3659799999999995,,13.488010000000001
15,5,B,4.453,30.946,20.073484,-0.515,,,46.683,,27.965,-0.608,,68.467,,,
14,6,C,5.961435000000001,15.737067,20.040261732,3.5583400000000003,,-22.36849,33.70739,,13.57596,2.98151,29.555650000000004,44.54549,-3.57827,-1.3487,
13,7,N,6.709171,17.970324,20.023367295,7.489310000000001,44.60408,-17.77093,21.78396,-45.29272,10.36232,2.1611,17.93623,14.91589,7.55804,5.59865,-16.30342
12,8,O,7.56857,3.813635,20.004075358,11.563649999999999,35.70103,-12.32288,10.8381,-35.90655,-2.7877,7.6080000000000005,19.34908,-13.68152,1.39381,0.79015,-11.58932
11,9,F,7.720134,7.024467,19.999981252,17.03321,27.70857,-8.126290000000001,-6.8680699999999995,-23.16272,-9.84083,6.60134,10.63929,,11.47616,5.65536,-2.24114
10,10,Ne,8.03224,-13.892535,19.99244017619,28.50218,20.83706,-4.72984,-24.51962,-17.66376,-28.04264,16.8653,12.843459999999999,,2.7957600000000005,-4.12958,-0.58677
9,11,Na,7.298496,-10.627088,20.007354426,34.33002,8.60045,-6.254560000000001,,1.04908,-33.049099999999996,14.1501,2.19042,,12.2438,-4.78579,10.5453
8,12,Mg,6.728025,,20.018763075,,2.41786,-8.934000000000001,,8.43667,,22.42201,2.74067,,3.15051,-12.83147,6.62365
16,5,B,4.203,31.687,21.083017,-1.417,,,52.098,,31.755,-0.809,,77.377,,,
15,6,C,5.674,20.411,21.049,2.9130000000000003,,,37.581,,15.805,-0.068,30.096,51.375,-3.416,-1.285,
14,7,N,6.609015,17.169878,21.027087573,6.767,49.11627,-20.90932,25.27952,-50.507,13.36442,4.6059,19.56062,27.41654,3.5289699999999997,5.1767,-20.91432
13,8,O,7.389374,8.10964,21.00865495,11.413459999999999,38.929660000000005,-15.39478,13.79381,-36.7305,0.00818,3.80545,20.99343,-2.84181,2.91656,-0.18708000000000002,-11.21083
12,9,F,7.738293,5.684171,20.999948894,14.702790000000002,30.481830000000002,-10.342600000000001,2.13703,-29.10307,-1.0769900000000001,8.10146,11.13275,-27.038,7.3303400000000005,5.599270000000001,-7.51437
11,10,Ne,7.971713,-3.547145,20.993846685,23.626459999999998,23.64257,-7.347930000000001,-16.635630000000003,-16.81692,-20.6537,6.76116,13.00328,,6.46647,-1.7408299999999999,0.6974400000000001
10,11,Na,7.765547,-13.08848,20.997654702,31.25666,15.275129999999999,-6.56125,-29.175,-9.45614,-27.73364,17.10655,2.43167,,6.77412,-2.6381900000000003,2.58866
9,12,Mg,7.105031,-16.086000000000002,21.011705764,37.06717,5.42614,-8.021510000000001,,10.65681,,14.64516,3.23573,,8.685270000000001,-9.27008,11.23264
8,13,Al,6.3020000000000005,,21.028975,,0.517,-10.608,,12.85,,,-2.223,,5.872,,7.598
16,6,C,5.421077,21.846396000000002,22.05755399,0.035,,,44.328160000000004,,20.30797,0.10300000000000001,31.008,61.63592,-4.128,-1.29499,
15,7,N,6.378534,22.481768,22.034100918,6.14433,51.263,-22.45275,28.97143,-52.854,15.631450000000001,1.5384300000000002,21.167,36.94631,4.97204,4.2151000000000005,-22.35904
14,8,O,7.364871,6.48966,22.009965746,10.65577,42.79847,-18.06115,17.30775,-43.649,1.25932,6.85032,23.237849999999998,9.68297,-1.7726600000000001,-1.70919,-17.48432
13,9,F,7.624295,10.818092,22.002998809,13.3318,33.55106,-12.74471,7.974880000000001,-29.72751,0.45383,5.23034,12.55763,-15.408,9.70801,4.32457,-7.416510000000001
12,10,Ne,8.080465,-2.843207,21.991385109,17.12542,26.398830000000004,-9.66682,-7.62479,-23.37572,-13.9114,10.36426,15.26608,-41.363,2.7035500000000003,-1.6732200000000002,-5.71117
11,11,Na,7.915667000000001,-4.7815780000000006,21.994437418,28.17475,19.74199,-8.479540000000002,-23.383,-12.42288,-24.15668,11.068200000000001,6.73871,,12.57123,-2.06951,1.95233
10,12,Mg,7.662761000000001,-18.601,21.999570654,34.02026,7.9359399999999996,-8.14246,-33.738,-1.9571300000000003,-35.461,19.3751,5.504270000000001,,3.46027,-8.46527,3.4944200000000003
9,13,Al,6.782,-15.137,22.01954,,3.227,-9.262,,13.097,,16.86,-0.009000000000000001,,11.435,-8.763,10.918000000000001
8,14,Si,6.058,,22.03579,,-1.283,,,15.145,,,0.9410000000000001,,,,7.156000000000001
17,6,C,5.077,27.45,23.06889,-2.3850000000000002,,,49.549,,24.335,-2.488,,69.325,-2.448,0.585,
16,7,N,6.236671,22.099056,23.039421,4.65412,55.187,-25.47473,33.43516,,19.36607,3.1156900000000003,24.179740000000002,46.25028,1.788,4.08092,-26.083000000000002
15,8,O,7.163485,11.336106,23.015696686,9.5833,45.6,-20.217299999999998,19.775419999999997,-46.278800000000004,3.75668,2.73298,24.4324,20.09488,0.10026,-2.28107,-17.23579
14,9,F,7.622344,8.439312,23.003526874,12.80977,36.524589999999996,-14.995930000000001,12.81512,-35.768510000000006,3.23866,7.57943,13.28674,-3.46281,5.93403,4.353149999999999,-12.83483
13,10,Ne,7.955256,4.3758040000000005,22.9944669,15.56491,27.79402,-10.91182,0.31945999999999997,-21.72605,-8.04385,5.2006499999999996,15.23639,-28.851,5.60436,-0.27253,-3.3038200000000004
12,11,Na,8.111493000000001,-4.0563400000000005,22.98976928199,23.48786,24.06019,-10.467319999999999,-16.27792,-19.6122,-17.201240000000002,12.41966,8.7941,,6.91273,2.3761300000000003,-3.86599
11,12,Mg,7.901115,-12.221583,22.994123941,32.52,14.31968,-9.65048,-29.171,-4.737760000000001,-31.746000000000002,13.1449,7.580970000000001,,7.42192,-7.46006,7.21482
10,13,Al,7.335727,-16.949,23.007244351,36.385,5.64524,-8.60624,,4.64061,-34.661,19.525000000000002,0.14097,,6.5550299999999995,-5.86557,5.54387
9,14,Si,6.565,,23.02544,,1.7850000000000001,-10.556000000000001,,16.808,,17.712,1.793,,7.418,,11.866
17,7,N,5.8870000000000005,28.438,24.05039,0.969,,-23.937,39.393,,24.245,-2.146,24.522000000000002,55.356,4.038,6.159,-24.745
16,8,O,7.039685,10.955887,24.019861,6.92527,49.688739999999996,-21.42808,24.45205,-52.959,7.14382,4.19228,25.50899,32.43397,-2.5535900000000002,-1.8674600000000001,-21.496000000000002
15,9,F,7.463582000000001,13.496161,24.00809937,11.39149,38.798230000000004,-16.646900000000002,15.96242,-36.46488,4.62725,3.8120600000000002,14.36582,7.593380000000001,8.972290000000001,4.34654,-12.041
14,10,Ne,7.993325,2.4662550000000003,23.993610645,14.06956,29.81262,-12.17273,7.981920000000001,-27.861990000000002,-4.49311,8.86891,16.52588,-16.69684,1.96579,-1.03999,-8.367280000000001
13,11,Na,8.063488000000001,5.515669,23.990963011,19.37902,25.78921,-10.82535,-8.369040000000002,-18.992130000000003,-11.015709999999999,6.95937,10.55282,-41.737,10.317620000000002,2.17793,-2.72389
12,12,Mg,8.260709,-13.884704,23.985041697,29.676270000000002,20.486790000000003,-9.31655,-24.67876,-16.06849,-28.752959999999998,16.53137,11.69269,,1.95875,-6.88488,-2.55539
11,13,Al,7.6495820000000005,-10.79406,23.999947541,34.393,9.4453,-9.32438,-33.368,2.19202,-31.817,14.86825,1.86432,,11.06187,-6.08866,7.78217
10,14,Si,7.167232,-22.574,24.011535441,38.736000000000004,3.43281,-9.15741,,8.92974,,21.023,3.29185,,3.255,-11.381,5.48775
9,15,P,6.194,,24.03577,,-0.54,,,19.282,,,-2.333,,10.692,,11.976
18,7,N,5.613,28.654,25.0601,-3.12,,-23.772000000000002,44.649,,29.411,-0.973,,65.34100000000001,2.523,7.236,
17,8,O,6.727805,15.994862,25.029338919,3.43498,51.42,-20.739,29.36453,,11.71319,-0.7573099999999999,26.898,40.521809999999995,1.3194100000000002,0.42828,-20.63577
16,9,F,7.3363059999999995,13.369667,25.012167727,8.093729999999999,39.9642,-16.32266,20.69198,-42.893,9.21449,4.28167,14.45521,20.25014,7.4236,6.91519,-14.784229999999999
15,10,Ne,7.839799,7.322312,24.997814799,13.024090000000001,31.234810000000003,-12.522450000000001,11.15728,-27.82487,-1.6889200000000002,4.15517,16.868990000000004,-5.86283,5.39004,0.03518,-5.67213
14,11,Na,8.101397,3.834969,24.989953973,15.97059,27.22102,-11.73512,-0.44184,-24.1913,-3.4955600000000002,9.01123,10.69514,-29.096,6.50704,3.5309600000000003,-6.50478
13,12,Mg,8.223502,-4.276808,24.985836964,23.861900000000002,22.616680000000002,-9.88592,-17.020110000000003,-14.53011,-21.21523,7.3305299999999995,12.06385,,7.04788,-3.14722,0.47834
12,13,Al,8.021136,-12.743299,24.990428306,31.80668,13.96406,-9.15626,-28.654,-7.78704,-27.732490000000002,16.93843,2.27138,,7.26834,-3.65199,1.9119400000000002
11,14,Si,7.48011,-15.911,25.004108801,36.013,5.277100000000001,-9.50144,,10.47192,-37.564,14.98919,3.41278,,7.79006,-9.51,9.87366
10,15,P,6.812,,25.02119,,1.588,-9.677,,12.498000000000001,,21.652,-1.704,,6.752,-8.736,7.183
18,8,O,6.497478,16.012161,26.037210155,-0.018000000000000002,,-21.37508,34.179919999999996,,15.25555,0.7393099999999999,28.611,50.87558,-1.566,2.80467,-23.863
17,9,F,7.08324,18.167762,26.020020392,5.038270000000001,42.867000000000004,-15.540840000000001,25.50966,-44.623,12.613059999999999,0.75661,15.969120000000002,30.85903,10.85928,8.89156,-12.42515
16,10,Ne,7.75191,7.341893,26.000516496,9.70988,32.59723,-11.226840000000001,16.69566,-34.13688,1.76761,5.5546999999999995,18.142020000000002,7.62213,3.6474,2.05991,-8.49385
15,11,Na,8.004201,9.353763,25.992634649,14.585510000000001,28.983240000000002,-12.07907,5.34937,-25.483919999999998,-1.73931,5.57428,12.11425,-17.834,9.80167,3.1573200000000003,-4.49964
14,12,Mg,8.333870000000001,-4.004391,25.982592971,18.42361,24.84084,-10.61474,-9.073530000000002,-21.46801,-15.36988,11.09308,14.145700000000001,-43.293,2.91416,-1.8206300000000002,-5.41409
13,13,Al,8.149765,-5.069136,25.986891863,28.303919999999998,18.370189999999997,-9.45356,-23.183,-10.141309999999999,-24.108790000000003,11.36549,6.3063400000000005,,12.43422,-1.87258,2.9661
12,14,Si,7.924708,-18.114,25.992333804,34.028839999999995,7.7853900000000005,-9.166,-34.22,-1.2372,-34.951,19.03966,5.514010000000001,,3.6186599999999998,-9.025030000000001,3.9789000000000003
11,15,P,7.198,-16.106,26.01178,38.489000000000004,3.556,-9.653,,12.6,,16.837,0.14300000000000002,,10.939,-7.86,9.871
10,16,S,6.548,,26.02907,,-1.7550000000000001,-8.685,,15.962,,,-0.051000000000000004,,4.47,,9.028
19,8,O,6.1850000000000005,19.22,27.047955,-1.198,,-21.926000000000002,37.619,,17.95,-1.937,,59.256,-0.602,2.596,
18,9,F,6.867932,18.39937,27.027322,2.02652,45.11,-13.69506,30.96807,,16.89785,1.26991,16.49973,42.64714,8.83206,11.813930000000001,-15.841000000000001
17,10,Ne,7.520414,12.568699,27.007569462,7.056220000000001,34.85606,-9.995379999999999,21.637520000000002,-34.8991,5.84037,1.50152,18.88694,19.43541,6.42755,4.37045,-5.80309
16,11,Na,7.956946,9.068821,26.994076408,12.302610000000001,31.429900000000004,-11.22797,11.67907,-31.45564,2.62544,6.72833,13.287870000000002,-4.79533,7.2285200000000005,5.29791,-7.4159
15,12,Mg,8.263852000000002,2.6102510000000003,26.984340627999998,17.536459999999998,27.12905,-11.85748,-2.2021100000000002,-22.35669,-10.447780000000002,6.443390000000001,15.0148,-31.614,5.482010000000001,-1.3046600000000002,-2.98856
14,13,Al,8.331553,-4.812359000000001,26.981538408,24.42352,22.416990000000002,-10.09192,-16.474400000000003,-17.625049999999998,-18.12716,13.05803,8.27129,,6.706729999999999,1.60076,-3.13256
13,14,Si,8.124341000000001,-11.662044,26.986704688,32.35446,13.76966,-9.33591,-29.412,-3.45893,-31.429000000000002,13.3148,7.4633199999999995,,7.24228,-7.47158,7.19547
