N,Z,element,be_per_a,beta_decay_energy,atomic_mass,s2n,s2p,qa,q2b,qep,qbn,s1n,s1p,q4b,qda,qpa,qna
1,0,n,0.0,0.782347,1.00866491582,,,,,,,0.0,,,,,
0,1,H,0.0,,1.00782503224,,,,,,,,0.0,,,,
1,1,H,1.112283,,2.01410177811,,,,,,,2.2245700000000004,2.2245700000000004,,23.846529999999998,,
2,1,H,2.827265,0.018591999999999997,3.01604928199,8.48179,,,-13.717,,,6.25723,,,17.589299999999998,19.813860000000002,
1,2,He,2.57268,-13.736,3.01602932265,,7.71804,,,,,,5.49347,,18.35305,,20.57762
0,3,Li,-2.267,,3.030775,,-6.8,,,8.242,,,,,,,
3,1,H,1.7204490000000001,22.196210999999998,4.026431868,4.657229999999999,,,-0.7020599999999999,,1.61859,-1.6,,,,21.41386,
2,2,He,7.073915,-22.898273000000003,4.00260325413,,,0.0,,,-34.313,20.57762,19.813860000000002,,0.0,0.0,0.0
1,3,Li,1.1537600000000001,,4.027185562,,2.3904699999999997,,,3.08441,,11.415000000000001,-3.103,,,,23.68062
4,1,H,1.3363589999999999,21.661211,5.035311493,-1.8,,,21.21356,,22.39621,-0.2,,,,,
3,2,He,5.512131999999999,-0.447654,5.012057224,19.84262,,0.735,-25.907,,-22.16327,-0.735,20.67886,,6.992229999999999,2.9595700000000003,
2,3,Li,5.266132,-25.46,5.0125378,33.131,17.848860000000002,1.965,,-20.23121,,21.715619999999998,-1.965,,7.45847,,4.18957
1,4,Be,0.018000000000000002,,5.03987,,-7.63,,,27.425,,,-4.527,,19.183,,
5,1,H,0.961639,24.283626,6.044955437,-1.11196,,,27.78884,,22.573169999999998,-0.9119600000000001,,-5.444,,,
4,2,He,4.878519000000001,3.505216,6.018885891,0.97545,,,-0.7829400000000001,,-2.15811,1.71045,22.58932,,3.68177,7.506340000000001,
3,3,Li,5.332331,-4.2881540000000005,6.01512288742,27.37894,25.11219,-1.47376,-33.233000000000004,-26.094540000000002,-31.123,5.66332,4.43332,,22.37277,4.0197199999999995,4.78347
2,4,Be,4.487247,-28.945,6.0197264090000004,,-1.3721800000000002,,,-0.14517,,26.835,0.59282,,3.7626500000000003,-5.428,9.09022
1,5,B,-0.467,,6.0508,,-7.4190000000000005,,,28.352,,,-2.892,,,,24.299
6,1,H,0.9400000000000001,23.062,7.052749,-0.1,,,34.228,,23.472,0.812,,21.459,,,
5,2,He,4.123057,11.166021,7.027990654,1.30074,,,10.304129999999999,,3.91493,-0.40970999999999996,23.09156,,3.8914899999999997,6.316050000000001,
4,3,Li,5.606439000000001,-0.861893,7.01600343666,12.91442,32.56328,-2.46762,-12.769440000000001,-34.25759,-11.53924,7.2510900000000005,9.97396,,14.38668,17.34624,-4.06762
3,4,Be,5.371548,-11.907551,7.016928717,37.512,10.040180000000001,-1.5871300000000002,,-9.11207,-39.622,10.67735,5.6068500000000006,,14.80092,-4.69013,18.99048
2,5,B,3.558705,,7.029712,,-1.41972,-3.415,,6.3007,,27.715,-2.01255,,1.249,,7.99976
