N,Z,element,be_per_a,beta_decay_energy,atomic_mass,s2n,s2p,qa,q2b,qep,qbn,s1n,s1p,q4b,qda,qpa,qna
122,91,Pa,7.6448027000000005,,213.021099644,18.5406678,2.0672330000000003,8.3843916,,5.0656232,,10.013646699999999,-0.25433690000000003,,16.488605,10.4587285,16.536517500000002
134,80,Hg,7.724,5.306,214.012636,7.392,,,11.953,,1.915,4.501,,16.240000000000002,,,
133,81,Tl,7.745,6.648000000000001,214.00694,8.127,,1.36,7.665,,1.597,3.391,9.024000000000001,9.844,14.155000000000001,11.719,
132,82,Pb,7.7723955,1.0177611,213.999803521,8.7767253,17.781,2.692,4.2869537,-15.672,-3.0226661,5.050739,9.2558009,4.136645400000001,12.079,10.759035599999999,5.854
131,83,Bi,7.7734955,3.2691925000000004,213.998710909,9.2254731,14.228,5.6212999,2.1783717,-10.273562,-2.6185791,4.0404272,5.2861532,-0.2424527,17.0589567,14.1562874,10.523621499999999
130,84,Po,7.785116299999999,-1.0908208,213.995201287,10.243200100000001,11.4989849,7.8335408,-0.1503083,-8.5553457,-5.9617688,5.8877716,6.5272727,-4.5627127000000005,14.3587775,12.253199,11.6694419
129,85,At,7.7763632,0.9405125000000001,213.996372331,10.893638800000002,9.839150799999999,8.9878374,-2.4208244,-5.4364519,-5.7545207000000005,4.870948,4.0146038,-9.8124232,17.7010639,13.9173961,14.1263668
128,86,Rn,7.7771023,-3.3613369,213.99536265,11.803080900000001,8.528197800000001,9.2084798,-4.4124045,-4.9551164,-8.836782600000001,6.6950333,5.0291135,-15.014595700000001,15.019291800000001,12.1915823,13.7592306
127,87,Fr,7.757739300000001,-1.0510675,213.998971193,13.584965,6.9081204,8.5888563,-7.3915988,-1.6677766,-9.3752025,5.475445700000001,2.5513493,-20.4182218,18.4116992,12.6610578,16.3352662
126,88,Ra,7.7491719,-6.340531299999999,214.00009956,15.851133,5.8259824,7.272588600000001,-10.6021912,-1.5002818,-14.1196071,8.324134899999999,3.6420311,,14.3195457,9.0971101,14.4944723
125,89,Ac,7.7158874,-4.2616599,214.0069064,17.0089643,4.6286722000000005,7.351864,-13.026622900000001,2.6985001000000004,-13.7581539,7.7790758,1.2012566,,17.3428414,10.4654571,16.219988400000002
124,90,Th,7.6923173,-8.764963,214.01148148,17.5585907,3.6842478,7.8271772,,3.0604033,-17.0305806,9.496494,2.7350689000000004,,14.1061388,8.4155018,15.509464
123,91,Pa,7.6477037,,214.020891055,18.279264299999998,2.4176473,8.2708999,,6.0298942,,8.2656176,-0.0508161,,18.059815500000003,10.4475537,17.9628118
135,80,Hg,7.7010000000000005,7.079,215.018368,7.2330000000000005,,,12.767,,2.574,2.732,,17.651,,,
134,81,Tl,7.73,5.688,215.010768,7.896,,,8.401,,2.142,4.506,9.029,11.287,12.541,11.874,
133,82,Pb,7.752738099999999,2.7129729000000005,215.004661591,8.596793600000002,18.436,2.308,4.8840155,-14.717,-2.5282934,3.5460546,9.411,5.511234900000001,13.269240700000001,10.757,6.969
132,83,Bi,7.7617177,2.1710426000000003,215.001749095,9.2816935,14.7324813,5.2823552000000005,2.8858554,-12.124,-1.9720738,5.2412663,5.4766804,1.3111344999999999,15.5436767,14.042256600000002,8.827
131,84,Po,7.7681768,0.7148128,214.999418385,10.030888000000001,11.916115,7.5263255000000004,0.6272194,-7.647723,-5.233937200000001,4.1431164,6.6299619000000005,-3.0737653000000003,15.4007071,12.4402274,12.653561100000001
130,85,At,7.7678627,-0.0875935,214.998651002,10.819698,10.6028549,8.1776168,-1.5747209,-7.3447747,-5.0082375,5.94875,4.0755821999999995,-7.287133600000001,16.1077423,13.9768801,12.5077616
129,86,Rn,7.7638164,-1.4871274,214.998745037,11.6156773,9.0934134,8.8385865,-3.7009847000000002,-3.9879888,-8.2819809,4.920644,5.0788095,-12.090423500000002,16.121338599999998,12.323214,14.8468206
128,87,Fr,7.7532607,-2.2138573000000004,215.000341534,12.2702992,7.6802831,9.540412700000001,-5.7124127,-3.5916821,-7.845921000000001,6.7948535,2.6511696000000002,-17.4863998,16.7248933,13.841411899999999,14.5926884
127,88,Ra,7.7393249,-3.4985554000000003,215.002718208,13.956198700000002,6.3499986,8.8624086,-8.3894388,-0.4373123,-11.972595,5.6320637,3.7986492,-22.3573172,16.7970013,10.9120482,16.8376162
126,89,Ac,7.7194137000000005,-4.8908833000000005,215.006474061,16.253115400000002,4.9931925,7.7459488,-11.773987,-0.30009379999999997,-12.7356995,8.474039600000001,1.3511613,,16.395799900000004,11.0933681,15.1929506
125,90,Th,7.6930266000000005,-6.8831036999999995,215.01172464,17.3413102,4.0020659,7.6646478,-13.9678784,3.5397220000000003,-16.609779200000002,7.8448162,2.8008093,,15.491211100000001,8.485888800000001,16.7665984
124,91,Pa,7.657373300000001,-7.0847747,215.019113955,17.992293,2.9144343,8.2361363,,4.0822944,,9.726675499999999,0.1793655,,16.3952367,10.5577062,16.1513396
123,92,U,7.6207821000000004,,215.026719774,,1.8087377,8.587999900000002,,6.9054093000000005,,,1.8595538,,15.9459248,8.1568443,18.4248279
136,80,Hg,7.6850000000000005,6.05,216.022459,6.993,,,13.411,,2.819,4.261,,19.138,,,
135,81,Tl,7.7090000000000005,7.361,216.015964,7.737,,,8.996,,2.457,3.231,9.528,12.614,13.811,11.534,
134,82,Pb,7.74,1.6360000000000001,216.008062,8.45,18.839,2.065,5.727,-16.889,-2.191,4.904,9.81,7.256,11.756,10.59,4.956
133,83,Bi,7.743499600000001,4.091652,216.006305985,9.067868500000001,15.169,5.0,3.6173097,-11.445,-1.6555596000000001,3.8266022,5.757228100000001,2.9029658,16.7678135,13.9416407,9.736578900000001
132,84,Po,7.7588205,-0.47434230000000005,216.001913416,9.890328,12.612587600000001,6.9063495,1.5290234,-9.8488801,-5.0323988,5.7472116,7.1359072,-1.5091304,13.6939227,11.8780617,10.6323357
131,85,At,7.753002400000001,2.0033657000000002,216.002422643,10.506806500000001,11.120484200000002,7.949705,-0.7143439,-6.6615649,-4.64565,4.5580565,4.4905224,-5.8930582000000005,17.4374574,13.7742521,13.1347509
130,86,Rn,7.758655300000001,-2.7177096,216.000271942,11.569659600000001,9.8546574,8.1978049,-3.0381538,-6.493888,-8.1361431,6.6490156,5.7790752,-10.0452245,14.343271000000001,11.6968892,12.5532334
129,87,Fr,7.7424513,-0.3204441,216.003189523,12.2132869,8.2277686,9.174254999999999,-5.178714299999999,-3.0613656000000002,-7.6322906999999995,5.4184334,3.148959,-14.852776400000002,18.0014931,13.5310261,15.1969458
128,88,Ra,7.7373458,-4.8582700999999995,216.003533534,12.9439103,6.9668119,9.5257696,-7.007070700000001,-2.8285149,-10.810402,7.3118466,4.3156423,-19.7749631,14.960600300000001,11.7097209,14.6338172
127,89,Ac,7.7112319,-2.1488006,216.008749101,14.4261715,5.469878700000001,9.2408187,-9.6740622,0.5426278,-10.8430152,5.9521319,1.6712295,,18.7678029,12.6682342,17.350338
126,90,Th,7.697661699999999,-7.5252616,216.011055933,16.5390308,4.3721456,8.072383799999999,-12.7678923,0.4775711,-15.577318400000001,8.694214599999999,3.0209843000000003,,14.5760722,9.0215627,15.5993818
125,91,Pa,7.6592006,-5.2426308,216.019134633,17.7787323,3.1874153,8.099282800000001,,4.504277200000001,-15.136831500000001,8.0520568,0.3866061,,17.8396739,10.5677462,17.329171300000002
124,92,U,7.6313072,,216.024762829,,2.2064445,8.530627200000001,,4.8560247,,9.894200699999999,2.027079,,14.3173416,8.276290300000001,16.592723900000003
136,81,Tl,7.6930000000000005,6.399,217.020032,7.513,,,9.93,,3.079,4.282,9.55,14.265,12.261000000000001,11.753,
135,82,Pb,7.719,3.5300000000000002,217.013162,8.225,19.427,1.635,6.377,-15.949,-1.685,3.321,9.899000000000001,8.602,12.941,10.66,6.136
134,83,Bi,7.731849100000001,2.8465103,217.009372,9.041945400000001,15.878,4.5212357,4.3353645,-13.429,-1.1236912000000001,5.2153432,6.069,4.4152998,15.0985248,13.777036500000001,7.912
133,84,Po,7.7413614,1.4888543,217.006316145,9.7174131,13.0367346,6.662134200000001,2.2248863,-8.915000000000001,-4.4445437000000005,3.9702015000000004,7.279506500000001,-0.006083300000000001,14.9649875,11.9482874,11.7128733
132,85,At,7.7446171999999995,0.736032,217.004717794,10.4914545,11.8126159,7.2013529,0.0799353,-8.7683608,-3.9300323,5.933398,4.6767087,-4.3077229,15.647175800000001,13.7286257,11.2417801
131,86,Rn,7.7444037,-0.6560967000000001,217.003927632,11.31508,10.3776054,7.8871691,-2.2309696,-5.4127407000000005,-7.3837739000000004,4.6660643,5.887083,-8.547213900000001,15.6259566,11.901772900000001,13.7749407
130,87,Fr,7.737775,-1.5748729000000001,217.00463198,12.1461107,9.0066958,8.4692686,-4.3876582,-5.2309863,-7.0481214,6.7276772000000005,3.2276206000000003,-12.7400852,16.194459900000002,13.4983821,13.3402166
129,88,Ra,7.7269122,-2.8127853000000003,217.006322676,12.785095100000001,7.5194164,9.1605687,-6.3162443,-1.6527477,-10.331518599999999,5.4732484999999995,4.3704574,-17.081,16.2822053,11.711918100000002,15.855602000000001
128,89,Ac,7.7103448,-3.503459,217.009342325,13.4708652,6.1937585,9.8316047,-8.352427,-1.5576720000000002,-9.6675339,7.5187333,1.8781162,,16.8811334,13.4736359,15.3070504
127,90,Th,7.6905945000000004,-4.848968,217.013103443,14.858289500000001,4.9041568,9.4353069,-10.765,1.6253427999999999,-13.6893365,6.1640749,3.2329273,,16.8860369,10.6365636,17.759441900000002
126,91,Pa,7.6646438,-5.916,217.018309024,16.8924252,3.5537442,8.4888028,,1.6160407,-14.0829992,8.8403684,0.5327599000000001,,16.8441217,11.2238717,16.2678786
125,92,U,7.634,,217.02466,18.061,2.529,8.426,,5.383,,8.167,2.142,,15.877,8.375,17.922
137,81,Tl,7.672000000000001,8.081,218.025454,7.303,,,10.494,,3.379,3.021,,15.610000000000001,13.501,11.465,
136,82,Pb,7.705,2.414,218.016779,8.023,19.869,1.434,7.273000000000001,,-1.172,4.702,10.319,10.412,11.47,10.463000000000001,4.166
135,83,Bi,7.712828000000001,4.8593866,218.014188,8.8005857,16.232,4.327,5.11582,-12.733,-0.7387322000000001,3.5852425,6.333,6.1565982,16.417,13.7378486,8.832
134,84,Po,7.73153,0.25643340000000003,218.008971234,9.5683203,13.731,6.1147544,3.1392382,-11.193,-4.1092646,5.5981188,7.6622821000000005,1.7110953,13.1934708,11.591434900000001,9.660808999999999
133,85,At,7.7291175,2.8828048,218.008695941,10.299096,12.351711700000001,6.8760822,1.0407782,-7.9187155,-3.6296660000000003,4.365698,5.072205200000001,-2.7506268,17.028689500000002,13.506044099999999,12.1173485
132,86,Rn,7.7387527,-1.8420267,218.005601123,11.1785351,11.1428645,7.2624699,-1.4281429,-7.955010000000001,-7.1685675,6.5124708,6.466155800000001,-7.149333400000001,13.6715424,11.3380521,11.4055862
131,87,Fr,7.726714299999999,0.4138838,218.00757862,12.0542181,9.7751801,8.0136758,-3.7914049,-4.6241291,-6.9014137,5.3265408,3.8880971,-11.5901279,17.516934700000004,13.0924853,13.962425800000002
130,88,Ra,7.7250241,-4.2052887000000005,218.007134297,12.788546,8.1856982,8.5403045,-5.7211905,-4.301980899999999,-10.1280828,7.3152974,4.958077599999999,-15.2490985,14.3853413,11.191474099999999,13.4609486
129,89,Ac,7.702145000000001,-1.5159019,218.01164886,13.441527400000002,6.6981192,9.384256299999999,-7.798723,-0.7527889,-9.4262531,5.9227941,2.3276618,,18.2701859,13.1829055,16.1791098
128,90,Th,7.6916026,-6.282821200000001,218.013276248,14.0744262,5.5026614,9.8490906,-9.527908,-0.8117599,-12.7593193,7.9103513,3.6245453000000003,,14.927817600000001,11.2002519,15.4811543
127,91,Pa,7.659193500000001,-3.2450869,218.020021133,15.316866599999999,4.0781104,9.791380499999999,,2.6582759,-12.392,6.4764981,0.8451831,,19.0618382,12.5921898,18.2654201
126,92,U,7.6407191,,218.023504877,17.3144105,2.9818241,8.7748074,,2.3999038,,9.147,2.4490643,,14.7816635,8.9541729,16.6196236
137,82,Pb,7.684,4.3,219.022136,7.783,,1.085,7.938,,-0.668,3.081,10.38,11.790000000000001,12.671000000000001,10.613,5.346
136,83,Bi,7.7,3.638,219.01752,8.553,16.918,3.865,5.924,-14.679,-0.108,4.968,6.599,7.703,14.77,13.674,7.096
135,84,Po,7.713334,2.2853395,219.013614,9.3447279,14.157,5.9141999,3.8520233,-10.237,-3.4901757,3.7466091,7.8236487,3.2875079,14.662205,11.671428,10.818
134,85,At,7.720197000000001,1.5666838,219.011160587,10.141213100000002,12.9118836,6.3418333,1.7790822000000002,-10.1089882,-2.8927103,5.7755152,5.2496015,-1.1735320999999999,15.2233758,13.4777405,10.1684355
133,86,Rn,7.7237784000000005,0.21239840000000001,219.009478683,10.9718649,11.6320572,6.9461921,-0.5645153,-6.8162853,-6.3014208,4.459394100000001,6.5598519,-5.6334426,15.1455463,11.4367145,12.693403700000001
132,87,Fr,7.7211759,-0.7769136999999999,219.009250664,11.84036,10.3556013,7.4486065,-2.9526143,-6.7722504,-6.0999355,6.5138192,3.8894455,-9.966284400000001,15.6691798,13.2276817,12.0066631
131,88,Ra,7.714055999999999,-2.1757005,219.010084715,12.6383192,8.8426556,8.1379268,-5.0689273,-3.1125318,-9.5283104,5.3230217,4.9545585,-13.902100500000001,15.7899969,11.2868859,14.7869425
130,89,Ac,7.7005489,-2.8932268,219.012420425,13.275404,7.3230518,8.826499900000002,-7.0136702,-2.7788579,-8.868511699999999,7.352609800000001,2.3649742000000002,-17.8673976,16.3908245,13.1421422,14.2449334
129,90,Th,7.683765500000001,-4.1204434,219.015526432,13.8856362,6.0046979,9.5058694,-8.8331732,0.5282526000000001,-12.258106100000001,5.975285,3.6770361,,16.4712659,11.1770989,16.817716
128,91,Pa,7.661378300000001,-4.7127298,219.019949909,14.6141608,4.6970398,10.1277574,-10.853727500000002,0.4434073,-11.382749599999999,8.1376627,1.0724945000000001,,17.0882503,13.1487417,16.0798893
127,92,U,7.636286699999999,-6.1409975999999995,219.025009233,15.817,3.4877689999999997,9.9496039,,3.6402353,,6.6700197,2.6425859000000003,,16.9520121,10.3362099,18.643818500000002
126,93,Np,7.604673200000001,,219.031601865,,2.1957394,9.207497799999999,,3.4984117,,,-0.2533249,,17.177,11.234576800000001,17.2595546
138,82,Pb,7.67,3.1710000000000003,220.025905,7.642,,0.785,8.867,,-0.261,4.561,,13.518,11.131,10.335,
137,83,Bi,7.681,5.696,220.022501,8.399000000000001,17.329,3.664,6.5840000000000005,,0.20700000000000002,3.432,6.949,9.477,16.041,13.563,7.946
136,84,Po,7.7032244,0.8877139,220.016386,9.2358255,14.944,5.329,4.6514689,-12.645,-3.2038769000000005,5.4892164,8.345,4.9913711,12.758231100000001,11.3975548,8.65
135,85,At,7.7037033,3.763755,220.015433,9.867106,13.418232,6.0768447,2.8934166,-9.233,-2.5249070000000002,4.0915908,5.5945833,0.6319933,16.7299038,13.356351199999999,11.292187900000002
134,86,Rn,7.717255199999999,-0.8703384,220.011392443,10.7480561,12.3226003,6.4047417,0.33990230000000005,-9.3583383,-6.076263600000001,6.288662,7.072998800000001,-4.0775442,13.222582200000002,11.0814505,10.3749432
133,87,Fr,7.7097430000000005,1.2102406,220.012326789,11.7197444,11.1958286,6.800737900000001,-2.2614233,-6.2026604,-5.9828389,5.205925199999999,4.6359766,-8.7960653,16.975725399999998,12.6878209,12.7341359
132,88,Ra,7.7116879,-3.471664,220.011027542,12.5161013,9.5232644,7.5938629,-4.4174465000000005,-5.8462173,-9.3687801,7.1930796,5.6338188,-12.741,13.9234581,10.821483500000001,12.2599272
131,89,Ac,7.6923515,-0.9457825000000001,220.014754527,13.249726,7.8936271,8.3478172,-6.534642,-2.1621549,-8.7903429,5.897116100000001,2.9390686,-16.731267,17.809005799999998,12.7182746,15.075494500000001
130,90,Th,7.6844964000000004,-5.5888595,220.015769866,13.8198454,6.5339608,8.9731556,-8.324,-1.9932861000000002,-11.9650038,7.844560400000001,4.1689866,,14.5494997,10.851271800000001,14.4464041
129,91,Pa,7.6555364,-2.735,220.021769753,14.513807000000002,5.150390000000001,9.703745000000001,-10.196625000000001,1.4198728,-11.088874200000001,6.3761443,1.4733539,,18.622457299999997,12.9366723,17.2224782
128,92,U,7.640000000000001,-7.462,220.024706,15.024000000000001,3.931,10.290000000000001,,1.262,-14.495000000000001,8.354000000000001,2.859,,15.075000000000001,10.823,16.454
127,93,Np,7.6020758,,220.03271628,,2.752488,10.2263078,,4.6028277,,7.033246699999999,0.1099021,,19.291174299999998,12.368,19.066676200000003
138,83,Bi,7.668,4.426,221.02598,8.262,,3.116,7.417,,0.865,4.831,7.219,10.923,14.291,13.435,6.136
137,84,Po,7.6844814,2.9910276,221.021228,9.05024,15.424,5.089,5.302402600000001,-11.646,-2.6733097,3.5610236,8.475,6.8098799,14.165000000000001,11.4217737,9.791
136,85,At,7.694475400000001,2.311375,221.018017,9.7559281,14.115,5.6278505999999995,3.5054782,-11.466000000000001,-1.9005823000000002,5.664337300000001,5.7697042000000005,2.2516808,14.812175600000002,13.290132700000001,9.2130931
135,86,Rn,7.701394100000001,1.1941032,221.015535637,10.5006193,12.7879486,6.1629859,1.5074773000000001,-8.0810792,-5.0822956999999995,4.2119573,7.193365300000001,-2.4685715,14.78614,11.2351911,11.7611047
134,87,Fr,7.7032572,0.3133741,221.014253714,11.4823241,11.6967123,6.457737,-1.2537974,-8.3874685,-5.066158300000001,6.2763989,4.6237135,-7.097685900000001,15.1587206,12.923892700000001,10.8234349
133,88,Ra,7.7011351999999995,-1.5671715,221.013917293,12.572612,10.443402599999999,6.8803948,-3.9760488,-4.9370876,-8.8511963,5.3795324,5.807426,-11.556119,15.0577449,10.768492,13.392865599999999
132,89,Ac,7.6905038999999995,-2.4088773000000003,221.015599721,13.181141,8.6638327,7.7914696,-5.8438885,-4.2402545,-8.2298074,7.2840249,3.0300139,-15.379,15.848002699999999,12.7495472,13.1180104
131,90,Th,7.676064,-3.4350112,221.018185757,13.665490400000001,7.0318692,8.625474,-7.580070200000001,-0.6211366,-11.4097895,5.820930000000001,4.0928006,-18.990000000000002,16.0811795,10.9531358,15.9407715
130,91,Pa,7.6569809,-4.145059000000001,221.021873393,14.3509226,5.772558500000001,9.2476999,-9.535,-0.6577893,-10.71,7.9747783000000005,1.6035717999999999,,16.6229639,12.8722452,15.1704941
129,92,U,7.634684900000001,-5.39,221.026323297,14.918593500000002,4.5207262,9.889299900000001,-11.41,2.5414872,-14.026344400000001,6.565,3.0473723,,16.6475795,10.734483,17.7996512
128,93,Np,7.607,-6.019,221.03211,15.669,3.251,10.431000000000001,,2.343,,8.636000000000001,0.392,,17.325,12.88,16.907
139,83,Bi,7.648000000000001,6.464,222.031079,8.152000000000001,,2.815,7.997,,1.105,3.322,,12.572000000000001,15.530000000000001,13.194,
138,84,Po,7.6740054,1.5332393,222.02414,8.919830900000001,16.222,4.432,6.1143107,,-2.3677797000000003,5.3588072,9.003,8.1660625,12.238,11.031,7.513
137,85,At,7.677387800000001,4.5810714,222.022494,9.5653563,14.584,5.3120741,4.5749252,-10.536,-1.589644,3.901019,6.1096995,4.331231,16.400373,13.1357228,10.28
136,86,Rn,7.6944991,-0.0061461,222.017576017,10.382672699999999,13.469447500000001,5.5903894,2.0517519,-10.6907709,-4.9766121000000005,6.1707153,7.699743300000001,-0.8310819,12.707015499999999,10.8399909,9.3369984
135,87,Fr,7.6909474,2.0578980000000002,222.017582615,11.2468649,12.5755875,5.8529689,-0.2436942,-7.6935972,-4.6570919,4.970466,5.3822222,-5.686257800000001,16.4769166,12.4128208,11.6284841
134,88,Ra,7.696693100000001,-2.3015922,222.015373371,12.094522300000001,10.8697305,6.6778756999999995,-2.8828337000000004,-7.440120200000001,-8.282161400000001,6.7149899,6.246017,-9.9526287,13.548680200000002,10.5673213,11.1372699
133,89,Ac,7.6828015,-0.5812415,222.017844232,13.264593999999999,9.438476699999999,7.137441300000001,-5.4425635,-3.9444247999999997,-8.3894465,5.980569099999999,3.6310507,-14.6528437,17.0605131,12.0919998,13.651260500000001
132,90,Th,7.6766592000000005,-4.861322,222.01846822,13.629135,7.6469945,8.1325665,-7.069795,-3.0498092000000003,-11.2432162,7.808205,4.6169806,-17.857,14.1700906,10.4975407,13.4555883
